,fid,ppl,precision,recall
standingCat1,60.853841612376215,315.9789733886719,0.4084,0.3856
standingCat5,59.64144537080463,281.8601379394531,0.3704,0.3924
standingCat30,41.93330984679167,286.96929931640625,0.5672,0.2712
photosketch_horse_riders_5,51.476595523706294,338.3899841308594,0.2244,0.6088
photosketch_horse_riders_30,51.763352370077996,338.3687744140625,0.234,0.6072
photosketch_gabled_church_5,30.804130254789186,339.166015625,0.418,0.5472
