,fid,ppl,precision,recall
photosketch_standing_cat_noaug_2,61.327078467373354,438.66278076171875,0.2136,0.5304
photosketch_horse_riders_aug,21.452296476661758,306.1642761230469,0.0056,0.0
photosketch_horse_on_a_side_noaug,30.589061178451544,268.2895202636719,0.4448,0.4868
photosketch_standing_cat_noaug,33.62450361800293,150.34445190429688,0.6712,0.2324
photosketch_gabled_church_noaug,17.162958338445605,343.7209167480469,0.5248,0.466
