,fid,ppl,precision,recall
teasercatLsketch,61.99376861581234,366.9939880371094,0.144,0.1704
teasercatLsketchAug,63.42459010337623,465.0819091796875,0.144,0.4292
teasercatLsketchImage,68.22145347807478,373.2003173828125,0.2144,0.304
teasercatLsketchLimageAug,73.54395379350169,427.6517333984375,0.1804,0.4268
